 981	 481	 819	 774	 626
 299	 763	 955	  91	  42
 532	 819	 201	 571	 749
 248	 734	 737	 467	 540
 677	 360	 760	 442	  27
 599	 256	  64	 634	 543
 403	 614	  23	 222	 388
 649	 521	 151	 603	 611
 192	 135	 429	 393	 705
 177	 640	 439	 914	 107
 575	 511	 148	 103	 709
 385	 163	 617	 681	 901
 139	   9	 813	 267	  20
 107	 536	 269	 757	 556
 823	 699	 946	 134	 783
 597	   9	 591	 445	 585
 365	  19	  96	 513	 122
 805	 898	 284	 421	 579
 184	 560	 588	 997	 826
 608	 104	 361	 876	 861

